DesignName,ParticipantID,TrialID,Block1,First,Size
1dir,15,678,6,N,2
1dir,15,679,7,NE,1
1dir,15,680,8,NE,3
1dir,15,681,9,S,1
1dir,15,682,10,N,1
1dir,15,683,11,E,3
1dir,15,684,12,SE,1
1dir,15,685,13,SW,3
1dir,15,686,14,NE,2
1dir,15,687,15,NW,1
1dir,15,688,16,NW,2
1dir,15,689,17,SW,2
1dir,15,690,18,S,2
1dir,15,691,19,S,3
1dir,15,692,20,NW,3
1dir,15,693,21,E,2
1dir,15,694,22,W,1
1dir,15,695,23,SE,2
1dir,15,696,24,SW,1
1dir,15,697,25,NE,1
1dir,15,698,26,SW,2
1dir,15,699,27,SW,3
1dir,15,700,28,E,2
1dir,15,701,29,W,1
1dir,15,702,30,SE,1
1dir,15,703,31,SE,2
1dir,15,704,32,SE,3
1dir,15,705,33,NE,2
1dir,15,706,34,E,3
1dir,15,707,35,S,3
1dir,15,708,36,W,3
1dir,15,709,37,N,1
1dir,15,710,38,SW,1
1dir,15,711,39,E,1
1dir,15,712,40,N,3
1dir,15,713,41,S,1
1dir,15,714,42,NW,1
1dir,15,715,43,NW,2
1dir,15,716,44,W,2
1dir,15,717,45,S,2
1dir,15,718,46,NW,3
1dir,15,719,47,N,2
1dir,15,720,48,NE,3
1dir,16,721,1,SW,1
1dir,16,722,2,E,2
1dir,16,723,3,S,1
1dir,16,724,4,W,3
1dir,16,725,5,NE,1
1dir,16,726,6,N,3
1dir,16,727,7,NE,2
1dir,16,728,8,NW,1
1dir,16,729,9,S,2
1dir,16,730,10,N,2
1dir,16,731,11,W,1
1dir,16,732,12,SE,2
1dir,16,733,13,N,1
1dir,16,734,14,NE,3
1dir,16,735,15,NW,2
1dir,16,736,16,NW,3
1dir,16,737,17,SW,3
1dir,16,738,18,S,3
