DesignName,ParticipantID,TrialID,Block1,Block2,Block,Dir,Size,Repeat,NbAngle
GestureMultiAngle,3,336,3,16,3,N_E,3,1,1
GestureMultiAngle,3,337,3,17,3,S_W,2,1,1
GestureMultiAngle,3,338,3,18,3,NE_SE,1,1,1
GestureMultiAngle,3,339,3,19,3,NE_SE,1,1,2
GestureMultiAngle,3,340,3,20,3,N_E,3,1,2
GestureMultiAngle,3,341,3,21,3,NE_SE,2,1,2
GestureMultiAngle,3,342,3,22,3,NE_SE,3,1,2
GestureMultiAngle,3,343,3,23,3,N_E,4,1,2
GestureMultiAngle,3,344,3,24,3,S_W,1,1,2
GestureMultiAngle,3,345,3,25,3,SW_NW,3,1,1
GestureMultiAngle,3,346,3,26,3,N_E,1,1,1
GestureMultiAngle,3,347,3,27,3,S_W,3,1,2
GestureMultiAngle,3,348,3,28,3,N_E,2,1,1
GestureMultiAngle,3,349,3,29,3,SW_NW,1,1,1
GestureMultiAngle,3,350,3,30,3,SW_NW,2,1,2
GestureMultiAngle,3,351,3,31,3,SW_NW,4,1,1
GestureMultiAngle,3,352,3,32,3,S_W,4,1,2
GestureMultiAngle,3,353,4,1,4,S_W,1,1,1
GestureMultiAngle,3,354,4,2,4,NE_SE,2,1,1
GestureMultiAngle,3,355,4,3,4,S_W,4,1,1
GestureMultiAngle,3,356,4,4,4,NE_SE,4,1,1
GestureMultiAngle,3,357,4,5,4,NE_SE,4,1,2
GestureMultiAngle,3,358,4,6,4,SW_NW,2,1,1
GestureMultiAngle,3,359,4,7,4,SW_NW,4,1,2
GestureMultiAngle,3,360,4,8,4,SW_NW,3,1,2
GestureMultiAngle,3,361,4,9,4,N_E,1,1,2
GestureMultiAngle,3,362,4,10,4,S_W,3,1,1
GestureMultiAngle,3,363,4,11,4,NE_SE,3,1,1
GestureMultiAngle,3,364,4,12,4,N_E,4,1,1
GestureMultiAngle,3,365,4,13,4,S_W,2,1,2
GestureMultiAngle,3,366,4,14,4,SW_NW,1,1,2
GestureMultiAngle,3,367,4,15,4,N_E,2,1,2
GestureMultiAngle,3,368,4,16,4,N_E,3,1,1
GestureMultiAngle,3,369,4,17,4,S_W,2,1,1
GestureMultiAngle,3,370,4,18,4,NE_SE,1,1,1
GestureMultiAngle,3,371,4,19,4,NE_SE,1,1,2
GestureMultiAngle,3,372,4,20,4,N_E,3,1,2
GestureMultiAngle,3,373,4,21,4,NE_SE,2,1,2
GestureMultiAngle,3,374,4,22,4,NE_SE,3,1,2
GestureMultiAngle,3,375,4,23,4,N_E,4,1,2
GestureMultiAngle,3,376,4,24,4,S_W,1,1,2
GestureMultiAngle,3,377,4,25,4,SW_NW,3,1,1
GestureMultiAngle,3,378,4,26,4,N_E,1,1,1
GestureMultiAngle,3,379,4,27,4,S_W,3,1,2
GestureMultiAngle,3,380,4,28,4,N_E,2,1,1
GestureMultiAngle,3,381,4,29,4,SW_NW,1,1,1
GestureMultiAngle,3,382,4,30,4,SW_NW,2,1,2
GestureMultiAngle,3,383,4,31,4,SW_NW,4,1,1
GestureMultiAngle,3,384,4,32,4,S_W,4,1,2
GestureMultiAngle,4,385,1,1,1,S_W,1,1,2
GestureMultiAngle,4,386,1,2,1,NE_SE,2,1,2
GestureMultiAngle,4,387,1,3,1,S_W,4,1,2
GestureMultiAngle,4,388,1,4,1,NE_SE,4,1,2
GestureMultiAngle,4,389,1,5,1,SW_NW,1,1,1
GestureMultiAngle,4,390,1,6,1,SW_NW,2,1,2
GestureMultiAngle,4,391,1,7,1,N_E,1,1,1
GestureMultiAngle,4,392,1,8,1,SW_NW,4,1,1
GestureMultiAngle,4,393,1,9,1,N_E,2,1,1
GestureMultiAngle,4,394,1,10,1,S_W,3,1,2
GestureMultiAngle,4,395,1,11,1,NE_SE,3,1,2
GestureMultiAngle,4,396,1,12,1,N_E,4,1,2
GestureMultiAngle,4,397,1,13,1,S_W,3,1,1
GestureMultiAngle,4,398,1,14,1,SW_NW,2,1,1
GestureMultiAngle,4,399,1,15,1,N_E,3,1,1
GestureMultiAngle,4,400,1,16,1,N_E,3,1,2
GestureMultiAngle,4,401,1,17,1,S_W,2,1,2
GestureMultiAngle,4,402,1,18,1,NE_SE,1,1,2
GestureMultiAngle,4,403,1,19,1,NE_SE,2,1,1
GestureMultiAngle,4,404,1,20,1,N_E,4,1,1
GestureMultiAngle,4,405,1,21,1,NE_SE,3,1,1
GestureMultiAngle,4,406,1,22,1,NE_SE,4,1,1
GestureMultiAngle,4,407,1,23,1,S_W,1,1,1
GestureMultiAngle,4,408,1,24,1,S_W,2,1,1
GestureMultiAngle,4,409,1,25,1,SW_NW,3,1,2
GestureMultiAngle,4,410,1,26,1,N_E,1,1,2
GestureMultiAngle,4,411,1,27,1,S_W,4,1,1
GestureMultiAngle,4,412,1,28,1,N_E,2,1,2
GestureMultiAngle,4,413,1,29,1,SW_NW,1,1,2
GestureMultiAngle,4,414,1,30,1,SW_NW,3,1,1
GestureMultiAngle,4,415,1,31,1,SW_NW,4,1,2
GestureMultiAngle,4,416,1,32,1,NE_SE,1,1,1
GestureMultiAngle,4,417,2,1,2,S_W,1,1,2
GestureMultiAngle,4,418,2,2,2,NE_SE,2,1,2
GestureMultiAngle,4,419,2,3,2,S_W,4,1,2
GestureMultiAngle,4,420,2,4,2,NE_SE,4,1,2
GestureMultiAngle,4,421,2,5,2,SW_NW,1,1,1
GestureMultiAngle,4,422,2,6,2,SW_NW,2,1,2
GestureMultiAngle,4,423,2,7,2,N_E,1,1,1
GestureMultiAngle,4,424,2,8,2,SW_NW,4,1,1
GestureMultiAngle,4,425,2,9,2,N_E,2,1,1
GestureMultiAngle,4,426,2,10,2,S_W,3,1,2
GestureMultiAngle,4,427,2,11,2,NE_SE,3,1,2
GestureMultiAngle,4,428,2,12,2,N_E,4,1,2
GestureMultiAngle,4,429,2,13,2,S_W,3,1,1
GestureMultiAngle,4,430,2,14,2,SW_NW,2,1,1
GestureMultiAngle,4,431,2,15,2,N_E,3,1,1
GestureMultiAngle,4,432,2,16,2,N_E,3,1,2
GestureMultiAngle,4,433,2,17,2,S_W,2,1,2
GestureMultiAngle,4,434,2,18,2,NE_SE,1,1,2
GestureMultiAngle,4,435,2,19,2,NE_SE,2,1,1
GestureMultiAngle,4,436,2,20,2,N_E,4,1,1
GestureMultiAngle,4,437,2,21,2,NE_SE,3,1,1
GestureMultiAngle,4,438,2,22,2,NE_SE,4,1,1
GestureMultiAngle,4,439,2,23,2,S_W,1,1,1
GestureMultiAngle,4,440,2,24,2,S_W,2,1,1
GestureMultiAngle,4,441,2,25,2,SW_NW,3,1,2
GestureMultiAngle,4,442,2,26,2,N_E,1,1,2
